Subject Area,Course Name,Course Description
Economics,ECON2170 - Environmental Economics,"Public policies to address market failures. Energy policy, climate change, biodiversity, globalization, and population growth. Sustainable economic activity, recycling, valuing environmental amenities, addressing ethical dilemmas, and resolving disputes. Offered on a graded basis only. Prerequisite: 1010 and 1020. [3] (SBS)"
Economics,ECON2180 - Sports Economics,"Intercollegiate and professional sports leagues. Competitive balance, player labor markets, and owner capital markets. Theories of league expansion, rival leagues, franchise relocation, and sports venue finance. Comparisons of international sports leagues. Offered on a graded basis only. Prerequisite: 1010 and 1020. [3] (SBS) (CORE C)"
Economics,ECON2210 - Economics and Legal Institutions,Theoretical study of legal institutions. Economic consequences of legal frameworks as they pertain to individual and group behavior. Prerequisite: ECON 1020. [3] (SBS) (CORE B)
Economics,ECON2220 - Latin American Development,"Economic growth and structural change. Historical legacies, import-substitution, debt crisis, inflation, and macroeconomic stabilization. Regional and national economic integration, migration, and conflict. Poverty, inequality, and policies. No credit for graduate students in economics. Prerequisite: 1010. [3] (SBS)"
Economics,ECON2260 - International Economics,"Causes, consequences, and conduct of economic interactions among sovereign nations. Trade in goods and services; international monetary and financial interactions; winners and losers; exchange rates and the balance of payments; economic organizations. Offered on a graded basis only. Prerequisite: 1010 and 1020. [3] (SBS)."
Economics,ECON2300 - Money and Banking,"A study of commercial banks and other intermediaries between savers and investors in the United States, including the government's role as money creator, lender, and regulator of private credit, and the effects of financial institutions on aggregate economic activity. Prerequisite: 1010 and 1020. [3] (SBS)"
Economics,ECON2340 - Plunder and Pillage: The Economics of Warfare and Conflict,"International and domestic economic conflict. Offensive and defensive strategies. Fortifications, strategic bombing, and conscription. Corporate takeovers, bargaining failures, and labor strikes. Prerequisites: 1010 and 1020. [3] (SBS)"
Economics,ECON2350 - Health Care Policy,"Health care markets in the United States. Supply and demand, social insurance policies, pharmaceuticals, malpractice, and health care reform. Prerequisite: 1010 and 1020. [3] (SBS) (CORE B)"
Economics,ECON2890 - Special Topics,Topics of special interest. May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. Prerequisite: 1010 and 1020. [3] (No AXLE credit)
Economics,ECON3010 - Intermediate Microeconomic Theory,"Development of the techniques of analysis for problems of resource allocation. Theories of choice and production for individual economic agents in competitive and monopolistic environments. Behavior of markets. Determination of prices, wages, interest, rent, and profit. Income distribution. Not open to students who have earned credit for 3012. Total credit for this course and 3012 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1010, 1020, and either MATH 1100, 1200, or 1300. [3] (SBS)"
Economics,ECON3012 - Microeconomics,"Consumer choice and firm behavior from the fundamentals of preference and production theory. Calculus-based optimization. Price-determination, analysis of market equilibrium, perfect competition and the effect of market power in monopolies and oligopolies. Efficiency, welfare, and market failures. Not open to students who have earned credit for 3010. Total credit for this course and 3010 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1010, 1020, and either MATH 1201 or 1301. [3] (SBS)"
Economics,ECON3020 - Intermediate Macroeconomic Theory,"National income accounting and analysis. Classical, Keynesian, and contemporary models determining national income, employment, liquidity, price level, and economic growth. Not open to students who have earned credit for 3022. Total credit for this course and 3022 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1010, 1020, and either MATH 1100, 1200, or 1300. [3] (SBS)"
Economics,ECON3022 - Macroeconomics,"Contemporary models of national income, employment, interest rates, price level, and economic growth. Decisions underlying consumption and investment behavior, as well as the effect of government policies. Not open to students who have earned credit for 3020. Total credit for this course and 3020 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1010, 1020, and either MATH 1201 or 1301. [3] (SBS)"
Economics,ECON3032 - Applied Econometrics,"Quantitative economic analysis with emphasis on multivariate regression. Measurement, specification, estimation, inference, prediction, and interpretation of econometric models. Experience with data and computer applications. Not open to students who have earned credit for 3035 or 3050. Total credit for this course and 3035 will not exceed 3 credit hours. Total credit for this course and 3050 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1020; either 1500, 1510, or both MATH 2820L and either MATH 2810 or 2820; and either Math 1201 or 1301. [3] (SBS)"
Economics,ECON3035 - Econometric Methods,"Properties and problems in estimating economic relationships with multiple regression. Statistical and econometric theory to address empirical questions. Hands-on experience with economic data analysis with programming in statistical software. Not open to students who have earned credit for 3032 or 3050. Total credit for this course and 3032 will not exceed 3 credit hours. Total credit for this course and 3050 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Prerequisite: 1020, either 1500, 1510, or both MATH 2820L and either MATH 2810 or 2820; and either Math 1201 or 1301. [3] (SBS)"
Economics,ECON3050 - Introduction to Econometrics,"Quantitative methods of economic analysis. Measurement, specification, estimation, and interpretation of economic models. Econometric computation using microcomputers. Not open to students who have earned credit for 3032 or 3035. Total credit for this course and 3032 will not exceed 3 credit hours. Total credit for this course and 3035 will not exceed 3 credit hours. Credit hours reduced from second course taken (or from test or transfer credit) as appropriate. Not offered after AY 2019-20. Prerequisite: 3010 or 3012 and either 1500 or 1510; or MATH 2820L with either MATH 2810 or MATH 2820. [3] (SBS)"
Economics,"ECON3100 - Wages, Employment, and Labor Markets","Theories and empirical evidence of the determinants of wages and employment. Compensating differentials, education and human capital, migration and labor mobility, discrimination, incentive pay, wage inequality. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3110 - Poverty and Discrimination,"Theories and empirical evidence concerning inequality, poverty, and discrimination, and their relationship to economic growth. Evaluation of anti-poverty and anti-discrimination policies. Prerequisite: 3012; and one of 3032, 3035. [3] (SBS)"
Economics,ECON3150 - Topics in the Economic History of the U.S.,Analysis of major issues and debates in American economic history. Prerequisite: 3010 or 3012. [3] (US)
Economics,ECON3160 - Economic History of Europe,"Sources of Western European economic progress. Organization of overseas merchant empires, origins of the Industrial Revolution, the role of property rights, demographic patterns, and changing living standards. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3170 - Environmental and Natural Resource Economics,"Theories of benefit-cost analysis, externalities, and public goods applied to study environmental market failures. Empirical methods applied to nonmarket valuation of environmental amenities and policy evaluation. Theories of optimal control and use applied to study energy, forests, fisheries, water, and climate change. Prerequisites: 3012; 3032 or 3035. [3] (SBS)"
Economics,ECON3200 - Public Finance,"Theories of the state and collective decisions, fiscal federalism, public goods and externalities. Tax theory: equity, efficiency, and growth. Taxation of goods, factors, and corporations. Cost-benefit analysis. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3210 - Economics of Education,"Models of educational investment and role of government in education provision. Effects of education on social and economic outcomes, the behavior of institutions that produce education, and the design and implementation of public policies that affect the level and distribution of educational resources. Prerequisite: ECON 3012. [3] (SBS)"
Economics,ECON3230 - Urban Economics,"Urban growth, development of suburbs, location of firms, housing markets, transportation, property taxes, and local government services. Offered on a graded basis only. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3250 - Industrial Organization,Models of market structure and behavior from monopoly and oligopoly to perfect competition. Strategic interaction between a firm and its customers and between a firm and its competitors. Firm practices and government policies that promote or hinder the efficient operation of markets. Offered on a graded basis only. Prerequisite: 3010 or 3012. [3] (SBS)
Economics,ECON3270 - Economics of Information and Communications Technology,"The Internet, cloud computing, social networks, e-commerce, and Internet telephony as influencers of commerce and consumer welfare. Streaming content, big data, informatics, and open source software in economic perspective. Property rights, competition, and regulation in cyberspace. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3300 - Financial Instruments and Markets,"Theoretical and empirical approaches to the analysis of monetary and other financial instruments. Portfolio analysis, interest rate risk, and financial futures and options markets. Prerequisite: Either 3010 or 3012; and either 3020 or 3022. [3] (SBS)"
Economics,ECON3330 - Economics of Risk,"Decision making under risk and uncertainty. Expected utility, risk aversion, and the value of information. Investments, insurance, and lotteries. Moral hazard and adverse selection. Prospect theory. Serves as repeat credit for ECON 3893-01 in Fall 2016. Prerequisite: 3010 (or 3012) with either 1500 or 1510; or Math 2820L with either Math 2810 or Math 2820. [3] (SBS)"
Economics,ECON3350 - Economics of Health,"Demand for health and health care. Value of health, life, and medical innovation. Health insurance. Supply and organization of health care services. U.S. health care reforms. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3600 - International Trade,"International trade in goods and services. Patterns of trade; gains and losses from trade, tariffs, and other commercial policies; economic integration; and international factor movements. Offered on a graded basis only. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON3610 - International Finance,"Economics of international monetary, financial, and macroeconomic relationships. Effects of monetary and fiscal politics in open economies, balance of payments, exchange rate determination, and international monetary institutions. Prerequisite: 3020 or 3022. [3] (SBS)"
Economics,ECON3650 - Development Economics,"Determinants of national economic growth for pre-industrial and newly industrial countries. Inequality and poverty. Imperfect credit markets and microfinance. Political constraints and corruption. Policy issues relevant to developing economics. Prerequisite: 3010 or 3012, and either 1500, 1510, 3032, 3035, or 3050. [3] (INT)"
Economics,ECON3698 - Junior Honors Research,Honors thesis proposal under the supervision of a thesis adviser and the Director of Honors. Open only to junior majors with the approval of the Director of Honors. Prerequisite: 3010 or 3012. [1] (No AXLE credit)
Economics,ECON3700 - Economic Growth,"Determinants of macroeconomic growth. Mathematical theories of exogenous and endogenous growth. Comparison of growth rates across countries and time. The effect of growth rates on economic well-being. The effect of tax rates. Prerequisite: 3010 or 3012, and 3020 or 3022. [3] (SBS)"
Economics,ECON3750 - Econometrics for Big Data,"Econometric methods for analyzing large datasets. Model selection, regularization, classification, resampling, tree-based methods, and support vector machines. Forecasting stock prices, prediction of housing prices, and determination of wages. Prerequisite: 3010 or 3012; either 3032, 3035, 3050; or MATH 2820L with MATH 2810 or 2820. [3] (SBS)"
Economics,ECON3851 - Independent Study in Economics,"A program of independent reading in economics, arranged in consultation with an adviser. Limited to students having written permission from an instructor and the director of undergraduate studies. Prerequisite: 3010 or 3012. [Variable credit: 1-3 each semester, or 1-6 for departmental honors candidates; maximum of 12 hours in 3851 and 3852 combined for departmental honors students; maximum of 6 hours in 3851 and 3852 combined for other students] (No AXLE credit)"
Economics,ECON3852 - Independent Study in Economics,"A program of independent reading in economics, arranged in consultation with an adviser. Limited to students having written permission from an instructor and the director of undergraduate studies. Prerequisite: 3010 or 3012. [Variable credit: 1-3 each semester, or 1-6 for departmental honors candidates; maximum of 12 hours in 3851 and 3852 combined for departmental honors students; maximum of 6 hours in 3851 and 3852 combined for other students] (No AXLE credit)"
Economics,ECON3893 - Selected Microeconomic Topics,Topics vary. May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. Prerequisite: 3010 or 3012. [3] (No AXLE credit)
Economics,ECON3894 - Selected Macroeconomic Topics,Topics vary. May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. Prerequisite: 3020 or 3022. [3] (No AXLE credit)
Economics,ECON4050 - Topics in Econometrics,"Emphasis on applications. May include generalized method of moments, empirical likelihood, resampling methods, and nonparametric techniques. Prerequisite: 3032, 3035, or 3050. [3] (SBS)"
Economics,ECON4110 - Macroeconomic Models for Policy Analysis,"Mathematical models of overlapping generations, rational expectations, and open economies with price rigidities applied to social security, government debt, exchange rates, monetary policy, and time inconsistent optimal policy. Prerequisite: 3020 or 3022. [3] (SBS)"
Economics,ECON4210 - Law and Economics,"The influence of legal rules and institutions on the behavior of individuals and on economic efficiency and equity. Applications from civil procedure as well as property, contract, tort, and criminal law. Offered on a graded basis only. Prerequisite: 3010 or 3012 and either 1500, 1510, 3032, 3035, or 3050. [3] (SBS)"
Economics,ECON4220 - Social Choice Theory,"Strategic and non-strategic social choice theory. Preference aggregation, formal models of voting, and matching. Prerequisite: 3010 or 3012 or PHIL 3003 or any Mathematics course numbered 2500 or above. [3] (SBS)"
Economics,ECON4230 - Political Economy of Elections,Microeconomic and game-theory analysis of political institutions and elections. Study of party and candidate positioning; efficiency of political competition; polarization; and information provision and processing. Prerequisite: 3012 or PSCI 2259. [3] (SBS)
Economics,ECON4240 - Political Economy of Institutions and Development,Theoretical mathematical and empirical models; nations’ prosperity or poverty. Institutions as factors for disparity in economic development. Familiarity with basic methods of regression analysis is expected.  No credit for students who completed ECON 3893 section 01 offered fall 2022. Prerequisite or corequisite: ECON 3012 or PSCI 2259.  [3] (SBS)
Economics,ECON4260 - Game Theory with Economic Applications,"Rational decision-making in non-cooperative, multi-person games. Single play and repeated games with complete and incomplete information. Economic applications of games, such as auctions, labor-management bargaining, pricing and output decisions in oligopoly, and common property resources. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON4280 - Experimental Economics,"Design, methodology, and interpretation of economic experiments. Laboratory experiments with applications in labor markets, discrimination, and voluntary contributions. Offered on a graded basis only. Not open to students who have earned credit for 3893 section 01 offered fall 2019. Prerequisite: 3010 or 3012; and 1500 or 1510, or MATH 2820L with MATH 2810 or MATH 2820. [3] (SBS)"
Economics,ECON4510 - Seminar in Macroeconomic Policy,"Intensive study of three or four current problems in economic policy. Studies in topics such as macroeconomic policy for the year ahead, financial market issues, international economic policy issues. Repeat credit for students who have completed 4510W. Limited to majors in economics and public policy. Prerequisite: 3010 or 3012; and 3020 or 3022. [3] (SBS)"
Economics,ECON4510W - Seminar in Macroeconomic Policy,"Intensive study of three or four current problems in economic policy. Studies in topics such as macroeconomic policy for the year ahead, financial market issues, international economic policy issues. Repeat credit for students who have completed 4510. Limited to majors in economics and public policy. Prerequisite: 3010 or 3012; and 3020 or 3022. [3] (SBS)"
Economics,ECON4520W - Seminar on Globalization,"Causes of global economic integration. Winners and losers. World Trade Organization, international environmental treaties, labor and capital markets. U.S. leadership. Offered on a graded basis only. Prerequisite: 3010 or 3012; and either 1500, 1510, 3032, 3035, or 3050. [3] (SBS)"
Economics,ECON4530 - Seminar in Microeconomic Policy,Intensive study of three or four current problems in microeconomic policy. Repeat credit for students who have completed 4530W. Limited to majors in economics and public policy. Prerequisite: 3010 or 3102. [3] (SBS)
Economics,ECON4530W - Seminar in Microeconomic Policy,Intensive study of three or four current problems in microeconomic policy. Repeat credit for students who have completed 4530. Limited to majors in economics and public policy. Prerequisite: 3010 or 3012. [3] (SBS)
Economics,ECON4540W - Economics of Conflict,"Economic relationships that appropriate value from other parties. War, crime, litigation, family quarrels, and rent-seeking. The visible hand, principal-agent problems, and negative sum games. Prerequisite: 3010 or 3012. [3] (SBS)"
Economics,ECON4550 - Seminar in Sports Economics,"Issues and debates. Offered on a graded basis only. Prerequisite: 2180, and 3010 or 3012. [3] (SBS)"
Economics,ECON4981 - Honors Seminar,Discussion of selected topics and senior thesis research. Open only to seniors in the departmental honors program. Prerequisite: 3010 or 3012. [1] (No AXLE credit)
Economics,ECON4982 - Honors Seminar,Discussion of selected topics and senior thesis research. Open only to seniors in the departmental honors program. Prerequisite: 3010 or 3012. [1] (No AXLE credit)
Economics,ECON4998 - Senior Thesis,Limited to and required of all candidates for departmental honors. Prerequisite: 3010 or 3012. [1-3] (No AXLE credit)
Economics,ECON4999 - Senior Thesis,Limited to and required of all candidates for departmental honors. Prerequisite: 3010 or 3012. [1-3] (No AXLE credit)
Education,EDUC1001 - Commons iSeminar,"Commons iSeminar, a 1-hour small seminar experience, open to first-year students. Students and faculty will collaboratively explore a specialized topic in depth in this university-wide seminar sponsored by The Ingram Commons. General Elective credit only. [1]"
Education,"EDUC1220 - Society, the School, and the Teacher","Introduces the relationship between society's goals and those of the school. Studies the community setting and the school, the social, political, and instructional organization of a school, and the roles and values of a teacher. Field experience. [3]"
Education,"EDUC1227 - Society, the School, and the Teacher","Introduces the relationship between society's goals and those of the school. Studies the community setting and the school, the social, political, and instructional organization of a school, and the roles and values of a teacher. Writing intensive. [3]"
Education,EDUC2160 - Cultural Diversity in American Education,"(Also listed as SPED 2060) Focuses on cultural diversity and the ways in which it has been defined and treated in the American educational system. An interdisciplinary perspective informs the course, with particular attention to history, sociology, psychology, anthropology, and educational literatures. [3]"
Education,EDUC3120 - Children in Families and Schools,"Examines the cultural, social-political, historical, and collaborative influences of families and educational institutions on children's development and learning. Emphasis on understanding family-school connections and developing partnerships to foster maximum growth of children. [3]"
Education,EDUC3140 - Learning and Development in Early Childhood Education,"Applying an understanding of learning and development, students examine a variety of early childhood curriculum models based upon their assumptions about learning and development. Students consider how the role of the classroom teacher and the establishment of classroom norms are shaped by each curricular model. An imbedded 20-hour practicum enables students to see different curricular models and to interact with preschool children. [3]"
Education,EDUC3212 - Introduction to Reading Processes and Assessment,"Develops an understanding of reading and of elementary students as readers. Examines theoretical models, approaches, and the development of reading in elementary classrooms. Candidates will investigate how children learn to read, explore assessments that reveal student understanding of reading, and apply this knowledge in scaffolding reading with individual students. Provides informal assessment and teaching experiences within a school setting. [3]"
Education,EDUC3214 - Theory and Methods of Reading Instruction in Elementary Schools,"Examines approaches, strategies, and methods for teaching reading in elementary classrooms with attention paid to philosophies and principles of instructional practice designed to individualize instruction and support literacy development. Discusses underlying concepts and theories pertaining to literacy instruction and relates these to classroom practice. Although grounded in the philosophy that reading and writing are not discrete entities, the course focuses on reading. Prerequisite: EDUC 3212; Corequisite: EDUC 3215 and EDUC 3216. [3]"
Education,EDUC3215 - Language Arts in Elementary Schools,"Examines the nature of language development in the elementary school years with attention paid to principles and practices for teaching English language arts, particularly related to writing instruction. Consideration of instructional practices designed to individualize instruction and support literacy development will occur. Prerequisite: EDUC 3212; Corequisite: EDUC 3214 and EDUC 3216. [3]"
Education,EDUC3216 - Practicum in Teaching Elementary Reading and Language Arts,: Field experiences in a variety of elementary classroom settings designed to provide practical experience and reflection on the teaching of reading and the language arts. Prerequisite: EDUC 3212; Corequisite: EDUC 3214 and EDUC 3215. [1]
Education,EDUC3240 - Practicum in Elementary Science and Social Studies,"Field experiences in a variety of school, grade level, and instructional settings, designed to integrate and apply teaching skills developed in the elementary science and social studies methods courses. Corequisite: SCED 3240 and SSED 3240. [1]"
Education,EDUC3270 - Managing Instructional Settings,Examines several planning and management philosophies and a variety of practices for use with early childhood and/or elementary school students. [2]
Education,EDUC3280 - Planning & Assesmnt Strategies,"Students will explore the research-based curriculum design process of backwards planning by learning about the theory behind teaching toward a course Big Idea, essential questions, and identified content standards. Students will also learn how to identify and write equity-based classroom assessments and lesson plans. The course has a field-embedded component that requires students to spend 9 to 12 hours in the field. [3]"
Education,EDUC3310 - Classroom Ecology,"This course explores how teachers make design choices for an environment that creates optimal conditions for student learning. Design elements include social and cultural contexts of learning, social/emotional learning, motivations for learning, and appropriate assessments. This is an introductory general methods class. Students will take specific methods classes in their area of teaching. [3]"
Education,EDUC3537 - Scholarly Writing and Thinking,"Students will engage in academic thinking processes such as identifying productive research questions about timely topics, evaluating and synthesizing literature, and composing academic writing in a range of genres (e.g., annotated bibliographies and literature reviews). Students will be able to view, emulate, and practice writing processes that are a part of the production of conference proposals, theoretical commentaries, and/or empirical research articles. Through drafting, revising, editing, and workshopping with peers and instructors, each student will receive ample feedback on their written work and develop the necessary skills for professional research and writing. [3]"
Education,EDUC3547 - Language Curriculum Design,"This course focuses on language curriculum design, considering multilingual learners’ interests and goals, relevant research in the field of language teaching, curricular coherence, and language teaching philosophies. Principles of language curriculum design are applied to the evaluation, adaptation, supplementation, and creation of curriculum that can be used in future language teaching contexts with learners across the lifespan. [3]"
Education,EDUC3575 - Multimodality & Multilingualism,"Digital communication today often involves the use of multiple modes—including visuals, sounds, text, and movement—to make meaning. In this graduate seminar, we will explore theoretical perspectives and current educational research within the rapidly expanding field of multimodality. We will devote particular attention to understanding how multilingual learners make meaning across modes and languages in and out of school. In addition to critically engaging with scholarship, you will also gain experience analyzing and creating various digital products that interweave multiple languages and modalities. We will also consider the pedagogical implications for designing instruction that effectively integrates technology to support emergent bilingual students’ language and literacy learning. Along with gaining a broad understanding of the scholarship at the intersections of multimodality and multilingualism, this course will also provide opportunities for students to delve into specific topics and applications of interest. [3]"
Education,EDUC3620 - Social and Philosophical Aspects of Education,"Exploration of the interaction between contemporary social problems and various philosophies in relation to educational theory, policy, and practice. [3]"
Education,EDUC3720 - Principles of Multilingual Education,"This survey course examines theoretically and empirically supported practices to support equitable education of multilingual students, many of whom are designated as “English Language Learners” in US school systems. Introductions to the following topics are included: second language acquisition, instructional strategies, program models, assessment, and ways to support students in mobilizing their cultural and linguistic resources. This course does not fulfill any ESL endorsement requirement. [3]"
Education,EDUC3730 - Foundations of Multilingual Education,"This course focuses on the historical, political, legal, theoretical, and educational influences that shape learning for multilingual learners who are learning English as an additional language. Emphasis is placed on (1) investigating and mobilizing multilingual learners’ resources in instruction, (2) analyzing relevant policies and programs that shape the experiences and outline rights and responsibilities of students, families, and educators, and (3) developing a personalized philosophy with plans for advocacy, collaboration and ongoing professional learning that can improve educational opportunities for multilingual learners. [3]"
Education,EDUC3731 - Practicum for Teaching English Language Learners I,A fieldbased practicum working with students who are English language learners. Experience will include use of students' native languages and/or ESL instructional components. Corequisite EDUC 3730. [1]
Education,EDUC3740 - Methods for Educating Multilingual Learners,"This course focuses on bilingual and linguistically appropriate curriculum materials and instruction for multilingual students across the disciplines (English language arts, science, mathematics, social studies). The course emphasizes research-based practices that support multilingual students labeled as “Multilingual learners (MLs)” including but not limited to (1) communicative language teaching, (2) the Sheltered Instruction Observation Protocol (SIOP), (3) translanguaging, and (4) learners’ strategy use. Corequisite: 1 hour of EDUC 3742. [3]"
Education,EDUC3742 - Practicum: Multilingual Learners,"In this practicum, students will work in a classroom with multilingual learners and a mentor teacher. Students will observe their mentor teacher, support learners, plan and implement lessons, reflect on their instruction, analyze factors that support learning, discuss and act on feedback, and make plans for ongoing professional learning. Students will meet regularly with a university supervisor. This course is required for ESL Endorsement and TESOL Certificate. Corequisite with EDUC 3740. [3]"
Education,EDUC3750 - Educational Linguistics and Second Language Acquisition,"This course explores multiple components of language and focuses on the understanding and application of linguistic theory and second language acquisition to the teaching of English learners. Topics covered include the structure of the English language, language as a system, language acquisition and development, language variation, theories of second language acquisition, and instructional and applied opportunities for fostering oral and written discourse. This course integrates linguistics knowledge from a variety of languages, emphasizes the use of multiple languages in multilingual learners’ experiences, and fosters an asset-centered, sociolinguistics approach to language study and instruction. [3]"
Education,EDUC3760 - Assessment of Multilingual Learners,This course focuses on theoretical and practical aspects of assessing bilingual and multilingual students learning English in a variety of contexts. Emphasis is placed on theories and issues affecting the assessment of English learners; critical engagement with a range of assessment tools and types; and practical applications for the construction and implementation of language learner assessment. [3]
Education,EDUC3763 - Practicum for Teaching English Language Learners III,A field-based practicum working with students who are English language learners. Experience will include use of students' native languages and/or ESL instructional components. Corequisite: EDUC 3760. [13]
Education,EDUC3770 - Language Socialization and Variation,"This course provides a sociocultural view of language development and uses. Specific topics covered include examination of components and characteristics of language structure as they relate to different language variations, discourse patterns, and ways in which they relate to discourse differences among social groups. The students in this class will analyze the socio-political nature of language standards and ""standard” usage and investigate ways in which teachers can integrate language variations and linguistic diversity into teaching practices. Prerequisite:  EDUC 3750 or equivalent course.[3]"
Education,EDUC3790 - Qualitative Language Analysis,This Qualitative Language Analysis course introduces students to some of the characteristics and approaches to designing and conducting qualitative language research analysis. Students will gain experience in various qualitative analysis techniques for purposes of either carrying out a research project or designing courses and materials derived from the results of their analysis. [3]
Education,EDUC3850 - Independent Study in Education,Semi-independent study on selected topics in education. Consent of instructor required. May be repeated. [1-3]
Education,EDUC3860 - Honors Research in Education,Individual programs of reading on the conduct of research studies in education. May be repeated. Consent of instructor required. [1-3]
Education,EDUC3861 - Initial Fieldwork in Educational Studies,"Field-based application of Education Studies coursework, providing students an opportunity to integrate and apply theory and practice to learning in out-of-school settings. Students are placed in culturally diverse education settings and are given opportunities to engage in practitioner observations, learning design and implementation, and guided reflective practice. [3]"
Education,EDUC3862 - Advanced Fieldwork in Educational Studies,"Advanced experience for Education Studies coursework, providing students an opportunity to develop independent experience in out-of-school settings and to apply at an advanced level theory and practice to learning in out-of-school settings. Students are placed in culturally diverse education settings and are given opportunities to engage in practitioner observations, learning design and implementation, and guided reflective practice. [3]"
Education,EDUC3871 - Practicum in Secondary Education I,Field experience in middle and secondary school settings. Designed for secondary education majors in their sophomore year. Corequisite: PSY-PC 2550 [3]
Education,EDUC3872 - Practicum in Secondary Education II,Field experience in middle and secondary school settings. Designed for secondary education majors in their junior year. [1]
Education,EDUC3890 - Special Topics in Education,Exploration of special issues on topics related to education. May be repeated for credit with change of topic. [1-3]
Education,EDUC4950 - Capstone Fieldwork in Educational Studies,"Capstone experience for Education Studies coursework, providing students an opportunity to develop independent experience in out-of-school settings and to apply at an advanced level theory and practice to learning in out-of-school settings. Students are placed in culturally diverse education settings and are given opportunities to engage in practitioner observations, learning design and implementation, and guided reflective practice. Capstone experiences should include opportunities for students to develop, direct or implement learning opportunities with increasing independence from field partners. [6]"
Education,EDUC4951 - Student Teaching in Early Childhood,Observation and teaching experience for students seeking PreK-3 licensure. Undergraduate credit only. Prerequisite: admission to student teaching. [9]
Education,EDUC4952 - Student Teaching in the Elementary School,Observation and teaching experience in elementary schools. Undergraduate credit only. Prerequisite: admission to student teaching. [9]
Education,EDUC4953 - Student Teaching in the Secondary School,Observation and teaching experience in secondary schools. Undergraduate credit only. Prerequisite: admission to student teaching. [9]
Education,EDUC4954 - Student Teaching in Education and Special Education,"(Also listed as SPED 4954) Observation, participation, and classroom teaching for undergraduate students in any area of education combined with any area of exceptionality. Placements are dependent on license and endorsement areas. Prerequisite: Admission to student teaching. [9]"
Education,EDUC4961 - Student Teaching Seminar: Early Childhood,Seminar to accompany EDUC 4951. A $300.00 Teacher Performance Assessment fee is associated with this course. [3]
Education,EDUC4962 - Student Teaching Seminar: Elementary,Seminar to accompany EDUC 4952. A $300.00 Teacher Performance Assessment fee is associated with this course. [3]
Electrical & Computer Engineering,ECE2112 - Circuits,"Development of basic electrical circuit element models, signal representations, and methods of circuit analysis. Matrix methods and computer techniques. Demonstrations of physical components, measurement techniques, and transient phenomena. Corequisite: MATH 2300; PHYS 1602. FALL, SPRING. [3]"
Electrical & Computer Engineering,ECE2112L - Circuits Laboratory,"Experiments in electrical theory, circuits, and components, including linear circuit theorems, operational amplifiers, comparators, oscillators, multivibrators, data converters, diode circuits, transistors as digital switches, sensors and transducers, data transmission circuits, and first-order filters. Corequisite: ECE 2112. FALL, SPRING. [1]"
Electrical & Computer Engineering,ECE2123 - Digital Systems,"(Also listed as CS 2123). Digital systems and hardware fundamentals of computer architectures, from logic gates and sequential logic to simple processor (e.g. von Neumann) architectures. Boolean algebra, information representation, state machines, digital system design, processors, instruction execution, I/O handling, and machine instruction set concepts. ECE 2123 is not open to students who have earned credit for ECE 2116.  Serves as repeat credit for CS 2123. Corequisite: ECE 2123L. FALL, SPRING [3]."
Electrical & Computer Engineering,ECE2123L - Digital Systems Laboratory,"(Also listed as CS 2123L). Laboratory for ECE 2123. One three-hour laboratory per week. ECE 2123L is not open to students who have earned credit for ECE 2116L. Serves as repeat credit for CS 2123L. Corequisite: ECE 2123. FALL, SPRING [1]."
Electrical & Computer Engineering,ECE2213 - Circuits II,"Steady-state and transient analysis of electrical networks with emphasis on Laplace transform methods and pole-zero concepts. Prerequisite: ECE 2112, PHYS 1602. Corequisite: ECE 2213L, MATH 2400 or 2420. FALL, SPRING. [3]"
Electrical & Computer Engineering,ECE2213L - Circuits II Laboratory,"Laboratory for ECE 2213. One three-hour laboratory per week. Corequisite: ECE 2213. FALL, SPRING. [1]"
Electrical & Computer Engineering,ECE2214 - Analog Circuits and Systems,"Steady-state and transient analysis of electrical networks with emphasis on Laplace and Fourier transform methods and pole-zero concepts. No credit for students who have earned credit for ECE 2213 or 3214. Prerequisite: ECE 2112, PHYS 1602. Corequisite: MATH 2400 or 2420. FALL, SPRING. [3]"
